gene_name	D30_M1234_CD4512_CX3CR6Neg_S31	D30_M1234_CD4512_Slamf6_S29	D30_M1234_CD451_CX3CR6Neg_S28	D30_M1234_CD451_Slamf6_S26	D30_M567_CD4512_CX3CR6Neg_S24	D30_M567_CD4512_Slamf6_S35	D30_M567_CD451_CX3CR6Neg_S34	D30_M567_CD451_Slamf6_S32
Dnajb14	243	248	314	208	123	132	107	287
Dnajb2	46	435	223	228	0	124	15	486
Dnajb4	210	395	118	307	1011	154	120	423
Dnajb5	30	58	4	53	0	38	95	0
Dnajb6	2556	2514	2382	1722	1909	1147	1731	3228
Dnajb7	0	13	2	23	0	0	0	10
Dnajb8	0	0	2	12	0	0	0	0
Dnajb9	1950	2614	1759	1942	2633	988	821	1747
Dnajc1	840	963	542	917	999	388	489	1308
Dnajc10	884	1492	399	589	490	394	116	1528
Dnajc11	1249	1323	928	633	57	992	1473	1657
Dnajc12	190	259	294	79	7	65	66	325
Dnajc13	279	672	197	408	118	515	67	656
Dnajc14	2143	2105	1662	1083	1747	614	717	2481
Dnajc15	506	735	587	435	665	382	283	786
Dnajc16	115	115	90	173	267	0	0	110
Dnajc17	232	325	275	225	0	215	289	220
Dnajc18	522	577	261	254	797	138	317	831
Dnajc19	584	617	459	494	331	492	1228	866
Dnajc2	822	674	446	346	14	237	566	709
Dnajc21	127	146	252	76	0	38	116	96
Dnajc24	213	253	276	74	0	154	361	310
Dnajc25	52	49	33	31	36	13	7	51
Dnajc27	45	158	0	195	0	315	3	270
Dnajc28	33	3	1	1	8	1	1	0
Dnajc3	2143	3013	2303	1856	1251	990	1440	3206
Dnajc30	228	410	416	264	0	76	482	199
Dnajc4	131	235	178	94	0	257	121	343
Dnajc5	1929	1635	1468	1022	2479	715	781	1767
Dnajc6	12	1	94	0	0	0	0	11
Dnajc7	5170	6848	3704	3755	599	3312	4738	8250
Dnajc8	2540	2283	2632	1285	2723	1483	3139	2541
Dnajc9	2791	3558	2521	2198	3917	1920	2345	3642
Dnal1	3	45	3	5	0	39	1	9
Dnal4	232	127	212	87	0	183	128	252
Dnase1	113	164	290	103	46	32	19	194
Dnase1l1	115	282	288	290	975	5	251	211
Dnase1l2	31	25	0	1	0	0	82	81
