gene	D1_D_progenitor	D2_D_progenitor	K1_K_progenitor	K2_K_progenitor	W1_W_progenitor	W2_W_progenitor	D1_D_effector-like	D2_D_effector-like	K1_K_effector-like	K2_K_effector-like	W1_W_effector-like	W2_W_effector-like	D1_D_transitory	D2_D_transitory	K1_K_transitory	K2_K_transitory	W1_W_transitory	W2_W_transitory	D1_D_terminal	D2_D_terminal	K1_K_terminal	K2_K_terminal	W1_W_terminal	W2_W_terminal
Dhps	135.31096878693276	129.7441829915942	121.41169063695645	111.82790428915946	124.84077395308557	113.8526992804188	96.15768164363155	90.51945892653193	85.97029850999151	82.39940307367698	84.73652018616515	87.47851006220199	142.16882885396393	145.76655147110495	127.65231050895197	124.31649560235162	132.79145219778854	121.28214114437169	83.92954312464393	93.28777315604421	93.59000315011758	81.95115492550369	94.53227444191508	101.33427066537168
Wdr83	23.1961660777599	41.18862952114101	35.3041086249306	31.41233266549423	35.833925856904195	27.48168603320454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr83os	223.26309849843906	209.03229481979065	217.8521824904254	194.75646252606424	173.38996382372997	184.51989193723048	82.9853964869697	97.85887451516965	100.2986815949901	96.29809756803213	87.79928597602654	92.38384707503575	129.5715908542456	119.06122906418494	136.62786359161265	139.28051822115322	128.99741070642315	114.0950512987793	88.25580823416166	94.42542892623987	81.47835568363178	101.61943210762456	92.7486466222563	113.42000936858115
Man2b1	69.58849823327971	65.90180723382562	55.96992830781681	66.59414525084777	76.29158408244118	69.88200162729154	63.22696875197691	48.92943725758482	52.9047990830717	53.60925019251274	64.31808158708921	66.22204967325571	90.88007414082504	90.13046312335496	68.81257363373192	87.48197838684003	81.57189206435582	88.04185060850686	55.376193401826924	77.36059237330495	49.547648726532834	54.63410328366912	58.85971804873957	58.56934910016895
Vps35	64.75596363374639	88.55555347045318	68.02498978950042	61.56817202436869	68.20005243733378	65.17085545017076	44.78576953265031	40.77453104798735	54.00698239730236	42.6888473755194	53.087940357597446	34.3373590898363	58.48717642726364	60.086975415569974	43.880481737452236	48.34530384535896	59.756153489004845	64.68380861033157	32.87961483233474	32.99201733567417	38.537060120636646	38.243872298568384	46.37432331112815	32.53852727787164
Orc6	44.45931831570648	28.832040664798708	29.27657788408879	33.92531927873377	31.210193488271393	30.622450151285058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4921524J17Rik	119.84685806842616	77.2286803521394	99.88479513394999	96.74998460972223	80.91531645107398	113.06750825089867	57.95805468931217	57.08434346718229	51.80261576884104	69.49347247177577	74.52730088662719	41.69536460908693	97.1786931406842	95.69407195812995	106.70935331607703	108.2013943205653	85.36593355572121	71.87089845592396	85.66004916845102	76.22293660310929	91.38788542893833	88.50724731954398	88.28957707310936	89.2485319621622
Dnaja2	259.99036145489225	263.6072289353025	289.3214755604069	257.5811278570527	230.03068533948175	262.2538038597233	218.6599336005868	172.88401164346638	197.2908132472882	180.683028426617	167.4311965124227	166.78145843634772	245.64614099450728	237.0097363614149	231.36981279747545	237.12220457485586	187.80505382258667	228.1901025975586	198.14294201591196	182.0249232313058	171.7651822519805	187.94131529582177	197.98268798212402	185.00476937989876
Itfg1	48.32534599533313	60.753228543682994	62.858534868778875	57.798692104509385	41.61359131769519	46.32627074168765	21.07565625065897	41.5900216689471	33.065499426919814	38.71779180570364	43.89964298801327	39.24269610267005	44.99013571327972	45.62159244515498	42.88319806160105	40.2877532044658	36.99190454081253	44.02092530425343	33.74486785423828	36.404984646261155	31.930706957098938	33.87314403587486	30.321672934199174	27.89016623817569
Lonp2	64.75596363374639	50.456071163397745	68.02498978950042	67.85063855746753	63.57632006870099	55.74856309592921	56.64082617364598	51.375909120464065	42.985149254995754	53.60925019251274	39.81595526819808	50.688482465948816	60.28678185579483	60.086975415569974	74.79627568883905	71.3668771050537	64.49870535321158	56.598332534040125	44.99315713898437	54.60747696939173	50.64870758712245	61.19019567770942	45.48250940129876	52.061643644594625
